,lithium_market_share,lfp_market_share,lithium_spot_prices,cny_to_usd,china_inflation,google_trends_interest
2018-01-01,41.4697053463367,0.091,141477.9736,6.423295238095237,2.07479039965576,42
2018-02-01,40.80493018656495,0.091,143975.7699,6.318315789473684,2.07479039965576,40
2018-03-01,39.679229744319386,0.091,143979.2782,6.317368181818182,2.07479039965576,34
2018-04-01,38.96251907703222,0.091,144462.566,6.2966523809523816,2.07479039965576,33
2018-05-01,38.7138121976544,0.091,143941.6006,6.3700636363636365,2.07479039965576,32
2018-06-01,40.03131545518902,0.091,144682.2121,6.465123809523809,2.07479039965576,32
2018-07-01,41.27150710314092,0.091,136396.492,6.716447619047619,2.07479039965576,33
2018-08-01,42.010834001009556,0.091,131186.0038,6.8452652173913044,2.07479039965576,35
2018-09-01,42.23054720923614,0.091,128398.3392,6.855084210526316,2.07479039965576,37
2018-10-01,42.05570627390456,0.091,124993.6412,6.9191045454545455,2.07479039965576,39
2018-11-01,43.20581721456111,0.091,120330.2824,6.936674999999999,2.07479039965576,36
2018-12-01,43.31375820146515,0.091,119539.9373,6.883711111111111,2.07479039965576,37
2019-01-01,46.316839032116356,0.067,117410.3414,6.786345,2.89923416358227,34
2019-02-01,47.68029808221987,0.067,117155.2072,6.736683333333334,2.89923416358227,43
2019-03-01,47.390724562176025,0.067,116143.3213,6.711942857142858,2.89923416358227,35
2019-04-01,46.23870453724544,0.067,112608.0442,6.716068181818182,2.89923416358227,37
2019-05-01,45.77346795795648,0.067,108327.789,6.851859090909091,2.89923416358227,37
2019-06-01,46.754424615740724,0.067,105147.6576,6.897675,2.89923416358227,33
2019-07-01,44.03248808599581,0.067,98557.4769,6.8774727272727265,2.89923416358227,35
2019-08-01,39.70612392186927,0.067,92297.52448,7.062859090909091,2.89923416358227,33
2019-09-01,36.485094397497,0.067,90613.03813,7.113725,2.89923416358227,32
2019-10-01,36.81134753600424,0.067,89768.31076,7.096081818181818,2.89923416358227,37
2019-11-01,37.07051328935875,0.067,85586.3051,7.019894736842106,2.89923416358227,42
2019-12-01,38.0573092496409,0.067,83369.60877,7.0136761904761915,2.89923416358227,38
2020-01-01,40.1559960384292,0.11599999999999999,84515.02925,6.918352380952381,2.41942189457782,47
2020-02-01,40.31766404316126,0.11599999999999999,84090.1401,6.996705263157895,2.41942189457782,37
2020-03-01,41.934941767084524,0.11599999999999999,84763.64251,7.02045,2.41942189457782,16
2020-04-01,41.23628373986914,0.11599999999999999,80179.88385,7.070827272727272,2.41942189457782,17
2020-05-01,39.80267543568016,0.11599999999999999,76716.0681,7.10159,2.41942189457782,21
2020-06-01,38.13743007751761,0.11599999999999999,72682.34473,7.08155909090909,2.41942189457782,31
2020-07-01,36.100668532596266,0.11599999999999999,67930.88595,7.004113636363636,2.41942189457782,34
2020-08-01,34.2021752257623,0.11599999999999999,68554.15717,6.927009523809524,2.41942189457782,32
2020-09-01,34.05755205922659,0.11599999999999999,69236.4084,6.810595238095239,2.41942189457782,44
2020-10-01,33.85111378819616,0.11599999999999999,69367.46174,6.72542380952381,2.41942189457782,44
2020-11-01,33.98902648893208,0.11599999999999999,70408.8687,6.60285,2.41942189457782,40
2020-12-01,33.697812383668655,0.11599999999999999,71683.13575,6.539295238095238,2.41942189457782,44
2021-01-01,36.037596697007984,0.26,76313.43475,6.467177777777778,0.981015135544882,91
2021-02-01,34.76265678132553,0.26,79876.06322,6.460057894736842,0.981015135544882,82
2021-03-01,36.73725783642119,0.26,85196.1226,6.510860869565217,0.981015135544882,57
2021-04-01,38.484002847101486,0.26,89693.153,6.518640909090909,0.981015135544882,59
2021-05-01,39.86610939086773,0.26,94471.27045,6.432049999999999,0.981015135544882,58
2021-06-01,40.07142149133796,0.26,96521.50791,6.425031818181818,0.981015135544882,50
2021-07-01,37.95295257218918,0.26,95767.61462,6.4762571428571425,0.981015135544882,49
2021-08-01,39.667204581061185,0.26,103970.1406,6.476790909090909,0.981015135544882,57
2021-09-01,43.36867281283522,0.26,122714.9005,6.456300000000001,0.981015135544882,59
2021-10-01,46.39689858358449,0.26,142293.4407,6.41721,0.981015135544882,76
2021-11-01,48.526800724926254,0.26,163563.753,6.38893,0.981015135544882,100
2021-12-01,49.88671602411748,0.26,184429.3076,6.369285714285714,0.981015135544882,73
2022-01-01,60.78337707024246,0.35600000000000004,266260.8506,6.35557,1.97357555739051,71
2022-02-01,65.59671410825938,0.35600000000000004,341140.0476,6.343552631578947,1.97357555739051,63
2022-03-01,67.89177980567156,0.35600000000000004,473185.8825,6.344552173913043,1.97357555739051,55
2022-04-01,68.820318735218,0.35600000000000004,490008.179,6.430999999999999,1.97357555739051,60
2022-05-01,69.4063905429025,0.35600000000000004,453228.8572,6.698957142857143,1.97357555739051,54
2022-06-01,70.61064949421899,0.35600000000000004,443656.2049,6.695190476190476,1.97357555739051,58
2022-07-01,74.51131973721135,0.35600000000000004,441052.3354,6.735155000000001,1.97357555739051,50
2022-08-01,74.82921025179235,0.35600000000000004,435305.3313,6.8006782608695655,1.97357555739051,50
2022-09-01,73.46825376736493,0.35600000000000004,418813.4928,7.019514285714285,1.97357555739051,55
2022-10-01,73.36610336308026,0.35600000000000004,409005.5056,7.190185,1.97357555739051,57
2022-11-01,71.729018859123,0.35600000000000004,409954.0167,7.18118,1.97357555739051,56
2022-12-01,70.76307027517727,0.35600000000000004,421882.4549,6.971695238095238,1.97357555739051,63
2023-01-01,72.84098204878336,0.397,430097.8228,6.790405,0.234836828893051,68
