,Index
2018-01-01,100.0
2018-02-01,103.59929498151736
2018-03-01,106.69067365586487
2018-04-01,109.12344291580995
2018-05-01,109.43876650776306
2018-06-01,106.24974804620221
2018-07-01,96.75113623022737
2018-08-01,91.15430508033292
2018-09-01,88.61932553442286
2018-10-01,86.53412101061036
2018-11-01,80.79191954171132
2018-12-01,80.04101140098786
2019-01-01,72.78964765081945
2019-02-01,70.4300584674327
2019-03-01,70.22471609790661
2019-04-01,69.75460826582164
2019-05-01,67.6700837183886
2019-06-01,64.10190203000631
2019-07-01,63.70468191185114
2019-08-01,66.31792483401142
2019-09-01,71.1339891434015
2019-10-01,69.76834075620147
2019-11-01,65.81988626261762
2019-12-01,62.234368869970666
2020-01-01,58.93763966171514
2020-02-01,58.37473118821144
2020-03-01,56.45142013727771
2020-04-01,54.144085719603005
2020-05-01,53.642267428162974
2020-06-01,53.00198355213728
2020-07-01,52.28022380996815
2020-08-01,55.96048924351041
2020-09-01,56.82352117374326
2020-10-01,57.30564580966578
2020-11-01,57.98024186141655
2020-12-01,59.65736452888715
2021-01-01,57.5646588819959
2021-02-01,62.81455473072533
2021-03-01,63.551708609383894
2021-04-01,63.866258140175496
2021-05-01,65.0316871131106
2021-06-01,66.26557092937614
2021-07-01,69.61921093371538
2021-08-01,72.52009086241716
2021-09-01,78.59844714933355
2021-10-01,85.4875872100323
2021-11-01,95.0208502179717
2021-12-01,104.83700478265996
2022-01-01,123.01045199896086
2022-02-01,146.18076881628483
2022-03-01,196.16061426196922
2022-04-01,200.5596473860991
2022-05-01,183.78976977830948
2022-06-01,176.862152151989
2022-07-01,166.60778138609334
2022-08-01,163.65498920693983
2022-09-01,160.26630456518376
2022-10-01,156.68129880713678
2022-11-01,160.6245179880131
2022-12-01,167.63987861554648
2023-01-01,164.4936535673993
2023-02-01,156.03508136935986
2023-03-01,134.54491931543745
2023-04-01,117.0841954256469
2023-05-01,96.61058328533228
2023-06-01,101.81284229827241
2023-07-01,103.4653116426026
2023-08-01,97.55298661507516
2023-09-01,85.72683353618777
2023-10-01,76.81010499484562
2023-11-01,73.1007261529572
2023-12-01,66.01047170622368
