,Model,RMSE
3,AR(1),0.0344754974330957
4,AR(2),0.034532832194297196
5,AR(1) with Weekly Zero Interaction,0.03495969979970849
6,AR(1) with Monthly Zero Interaction,0.03531270390755053
7,AR(2) with Weekly Zero Interaction,0.035383770340930286
8,AR(2) with Monthly Zero Interaction,0.03584111892682286
9,AR(2) with Separate Weekly and Monthly Zero Interactions,0.03587648812686814
0,Model with Only Constant,0.047647999920785465
2,Model with Monthly Zero,0.048032922633657125
1,Model with Weekly Zero,0.04804314037456729
